"time_window","accept_rate","request","long_waiting","longwait_percent1","longwait_percent4","longwait_percent2","longwait_percent3","Weather Weight_Longwait_percent4","Weather Weight_Longwait_percent2"
"06 15:00:00","0.82894736842105","152","22","0.21052631578947","0.16447368421053","0.15789473684211","0.14473684210526","0.21381578947368","0.20526315789474"
"06 15:20:00","0.73837209302326","172","57","0.52906976744186","0.3906976744186","0.37093023255814","0.33139534883721","0.50790697674419","0.48220930232558"
"06 15:40:00","0.50877192982456","114","54","0.6578947368421","0.52894736842105","0.51052631578947","0.47368421052631","0.68763157894737","0.66368421052631"
"06 16:00:00","0.53333333333333","90","53","0.9","0.68222222222222","0.65111111111111","0.58888888888889","0.88688888888889","0.84644444444444"
"06 16:20:00","0.8125","48","24","0.70833333333333","0.5625","0.54166666666667","0.5","0.73125","0.70416666666667"
"06 16:40:00","0.85714285714286","49","11","0.3265306122449","0.25510204081633","0.24489795918367","0.22448979591837","0.33163265306122","0.31836734693877"
"06 17:00:00","0.69306930693069","101","36","0.55445544554455","0.41584158415841","0.3960396039604","0.35643564356436","0.54059405940594","0.51485148514851"
"06 17:20:00","0.37931034482759","145","70","0.71034482758621","0.55103448275862","0.52827586206897","0.48275862068966","0.71634482758621","0.68675862068965"
"06 17:40:00","0.34782608695652","138","91","1.0072463768116","0.76376811594203","0.72898550724638","0.65942028985507","0.76376811594203","0.72898550724638"
"06 18:00:00","0.36075949367089","158","105","0.96835443037975","0.75569620253165","0.7253164556962","0.66455696202532","0.75569620253165","0.7253164556962"
"06 18:20:00","0.30674846625767","163","95","0.80368098159509","0.64907975460123","0.62699386503067","0.58282208588957","0.64907975460123","0.62699386503067"
"06 18:40:00","0.52941176470588","153","80","0.77124183006536","0.59738562091503","0.57254901960784","0.52287581699346","0.59738562091503","0.57254901960784"
"06 19:00:00","0.35555555555556","135","71","0.74814814814815","0.59259259259259","0.57037037037037","0.52592592592593","0.59259259259259","0.57037037037037"
"06 19:20:00","0.37623762376238","101","56","0.83168316831683","0.63762376237624","0.60990099009901","0.55445544554455","0.63762376237624","0.60990099009901"
"06 19:40:00","0.5","98","46","0.73469387755102","0.54897959183673","0.52244897959184","0.46938775510204","0.54897959183673","0.52244897959184"
"06 20:00:00","0.47058823529412","68","29","0.60294117647059","0.47941176470588","0.46176470588235","0.42647058823529","0.47941176470588","0.46176470588235"
"06 20:20:00","0.56716417910448","67","27","0.55223880597015","0.44776119402985","0.43283582089552","0.40298507462687","0.44776119402985","0.43283582089552"
"06 20:40:00","0.65217391304348","46","15","0.52173913043478","0.38478260869565","0.36521739130435","0.32608695652174","0.38478260869565","0.36521739130435"
"07 08:00:00","0.48387096774193","31","14","0.61290322580645","0.5","0.48387096774193","0.45161290322581","0.5","0.48387096774193"
"07 08:20:00","0.59574468085106","47","26","0.76595744680851","0.61702127659574","0.59574468085106","0.5531914893617","0.61702127659574","0.59574468085106"
"07 08:40:00","0.73684210526316","57","22","0.57894736842105","0.44385964912281","0.42456140350877","0.3859649122807","0.44385964912281","0.42456140350877"
"07 09:00:00","0.8448275862069","58","22","0.58620689655172","0.44137931034483","0.42068965517241","0.37931034482759","0.44137931034483","0.42068965517241"
"07 09:20:00","0.74489795918367","98","29","0.45918367346939","0.34489795918367","0.32857142857143","0.29591836734694","0.34489795918367","0.32857142857143"
"07 09:40:00","0.72463768115942","138","43","0.46376811594203","0.35724637681159","0.34202898550725","0.31159420289855","0.35724637681159","0.34202898550725"
"07 10:00:00","0.79674796747967","123","36","0.39837398373984","0.32439024390244","0.31382113821138","0.29268292682927","0.32439024390244","0.31382113821138"
"07 10:20:00","0.77235772357723","123","36","0.42276422764228","0.33170731707317","0.31869918699187","0.29268292682927","0.33170731707317","0.31869918699187"
"07 10:40:00","0.75735294117647","136","47","0.49264705882353","0.38970588235294","0.375","0.34558823529412","0.38970588235294","0.375"
"07 11:00:00","0.83076923076923","130","38","0.45384615384615","0.34076923076923","0.32461538461538","0.29230769230769","0.34076923076923","0.32461538461538"
"07 11:20:00","0.73239436619718","142","54","0.55633802816901","0.43309859154929","0.41549295774648","0.38028169014085","0.43309859154929","0.41549295774648"
"07 11:40:00","0.73170731707317","123","48","0.61788617886179","0.45853658536585","0.43577235772358","0.39024390243902","0.45853658536585","0.43577235772358"
"07 12:00:00","0.81159420289855","69","15","0.30434782608696","0.24347826086957","0.23478260869565","0.21739130434783","0.24347826086957","0.23478260869565"
"07 12:20:00","0.79220779220779","77","11","0.23376623376623","0.17012987012987","0.16103896103896","0.14285714285714","0.17012987012987","0.16103896103896"
"07 12:40:00","0.90361445783132","83","7","0.10843373493976","0.091566265060241","0.089156626506024","0.08433734939759","0.091566265060241","0.089156626506024"
"07 13:00:00","0.92045454545454","88","4","0.090909090909091","0.059090909090909","0.054545454545455","0.045454545454545","0.059090909090909","0.054545454545455"
"07 13:20:00","0.97183098591549","71","6","0.12676056338028","0.097183098591549","0.092957746478873","0.084507042253521","0.097183098591549","0.092957746478873"
"07 13:40:00","0.91071428571429","112","11","0.11607142857143","0.10357142857143","0.10178571428571","0.098214285714286","0.10357142857143","0.10178571428571"
"07 14:00:00","0.8974358974359","117","11","0.14529914529915","0.10940170940171","0.1042735042735","0.094017094017094","0.10940170940171","0.1042735042735"
"07 14:20:00","0.90344827586207","145","16","0.16551724137931","0.12689655172414","0.12137931034483","0.11034482758621","0.12689655172414","0.12137931034483"
