time_window,accept_rate
25 13:20:00,0.7857142857142857
25 13:40:00,1.0
25 14:00:00,0.9333333333333333
25 14:20:00,1.0
25 14:40:00,1.0
25 15:00:00,0.8181818181818182
25 15:20:00,1.0
25 15:40:00,1.0
25 16:00:00,1.0
25 16:20:00,1.0
25 16:40:00,1.0
25 17:00:00,0.9230769230769231
25 17:20:00,0.8235294117647058
25 17:40:00,0.7222222222222222
25 18:00:00,0.5769230769230769
25 18:20:00,0.7
25 18:40:00,0.7647058823529411
25 19:00:00,0.8888888888888888
25 19:20:00,0.6666666666666666
25 19:40:00,1.0
25 20:00:00,0.5333333333333333
25 20:20:00,0.42857142857142855
25 20:40:00,0.5714285714285714
26 08:00:00,0.8333333333333334
26 08:20:00,1.0
26 08:40:00,1.0
26 09:00:00,0.8235294117647058
26 09:20:00,0.8947368421052632
26 09:40:00,0.8888888888888888
26 10:00:00,0.9523809523809523
26 10:20:00,0.9104477611940298
26 10:40:00,0.8974358974358975
26 11:00:00,0.8627450980392157
26 11:20:00,0.7959183673469388
26 11:40:00,0.9
26 12:00:00,1.0
26 12:20:00,1.0
26 12:40:00,1.0
26 13:00:00,0.8888888888888888
26 13:20:00,0.9393939393939394
26 13:40:00,0.88
26 14:00:00,0.8979591836734694
26 14:20:00,0.8181818181818182
26 14:40:00,0.9782608695652174
26 15:00:00,0.9459459459459459
26 15:20:00,0.9272727272727272
26 15:40:00,0.9411764705882353
26 16:00:00,0.9038461538461539
26 16:20:00,0.9655172413793104
26 16:40:00,1.0
26 17:00:00,1.0
26 17:20:00,0.9629629629629629
26 17:40:00,0.8666666666666667
26 18:00:00,1.0
26 18:20:00,1.0
26 18:40:00,1.0
26 19:00:00,1.0
26 19:20:00,0.9375
26 19:40:00,1.0
26 20:00:00,1.0
26 20:20:00,0.8461538461538461
26 20:40:00,1.0
27 08:00:00,1.0
27 08:20:00,0.8
27 08:40:00,1.0
27 09:00:00,0.8461538461538461
27 09:20:00,1.0
27 09:40:00,1.0
27 10:00:00,0.9736842105263158
27 10:20:00,0.9512195121951219
27 10:40:00,1.0
27 11:00:00,0.9545454545454546
27 11:20:00,0.9722222222222222
27 11:40:00,0.95
27 12:00:00,0.782608695652174
27 12:20:00,0.9375
27 12:40:00,1.0
27 13:00:00,0.8888888888888888
27 13:20:00,1.0
27 13:40:00,0.9787234042553191
27 14:00:00,1.0
27 14:20:00,0.7777777777777778
27 14:40:00,0.8571428571428571
27 15:00:00,0.8620689655172413
27 15:20:00,0.9259259259259259
27 15:40:00,0.9629629629629629
27 16:00:00,0.9230769230769231
27 16:20:00,0.9714285714285714
27 16:40:00,0.9523809523809523
27 17:00:00,0.8620689655172413
